57 timesteps needed to evacuate a building with 1 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
72 timesteps needed to evacuate a building with 2 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
87 timesteps needed to evacuate a building with 3 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
102 timesteps needed to evacuate a building with 4 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
117 timesteps needed to evacuate a building with 5 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
132 timesteps needed to evacuate a building with 6 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
147 timesteps needed to evacuate a building with 7 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
162 timesteps needed to evacuate a building with 8 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
177 timesteps needed to evacuate a building with 9 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
192 timesteps needed to evacuate a building with 10 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
207 timesteps needed to evacuate a building with 11 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
222 timesteps needed to evacuate a building with 12 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
237 timesteps needed to evacuate a building with 13 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
252 timesteps needed to evacuate a building with 14 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
267 timesteps needed to evacuate a building with 15 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
282 timesteps needed to evacuate a building with 16 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
297 timesteps needed to evacuate a building with 17 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
312 timesteps needed to evacuate a building with 18 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
327 timesteps needed to evacuate a building with 19 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
342 timesteps needed to evacuate a building with 20 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
357 timesteps needed to evacuate a building with 21 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
372 timesteps needed to evacuate a building with 22 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
387 timesteps needed to evacuate a building with 23 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
402 timesteps needed to evacuate a building with 24 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
417 timesteps needed to evacuate a building with 25 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
432 timesteps needed to evacuate a building with 26 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
447 timesteps needed to evacuate a building with 27 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
462 timesteps needed to evacuate a building with 28 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
477 timesteps needed to evacuate a building with 29 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
492 timesteps needed to evacuate a building with 30 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
507 timesteps needed to evacuate a building with 31 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
522 timesteps needed to evacuate a building with 32 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
537 timesteps needed to evacuate a building with 33 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
552 timesteps needed to evacuate a building with 34 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
567 timesteps needed to evacuate a building with 35 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
582 timesteps needed to evacuate a building with 36 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
597 timesteps needed to evacuate a building with 37 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
612 timesteps needed to evacuate a building with 38 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
627 timesteps needed to evacuate a building with 39 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
642 timesteps needed to evacuate a building with 40 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
657 timesteps needed to evacuate a building with 41 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
672 timesteps needed to evacuate a building with 42 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
